Plate,Dispensedwell,Dispensedrow,Dispensedcol,Nonrandomwell,Nonrandomrow,Nonrandomcol,xMIC,Replicate,Short
19,E09,5,9,F10,6,10,0.000xMIC,5,drug_9
19,E10,5,10,D09,4,9,0.125xMIC,4,drug_9
19,F03,6,3,C05,3,5,2xMIC,3,drug_9
19,F04,6,4,E07,5,7,0.5xMIC,4,drug_9
19,F05,6,5,G05,7,5,2xMIC,4,drug_9
19,F06,6,6,D05,4,5,2xMIC,5,drug_9
19,F07,6,7,C08,3,8,0.25xMIC,6,drug_9
19,F08,6,8,F09,6,9,0.125xMIC,5,drug_9
19,F09,6,9,E04,5,4,4xMIC,5,drug_9
19,F10,6,10,C07,3,7,0.5xMIC,5,drug_9
19,G03,7,3,G03,7,3,8xMIC,5,drug_9
19,G04,7,4,D06,4,6,1xMIC,6,drug_9
19,G05,7,5,E05,5,5,2xMIC,6,drug_9
19,G06,7,6,E03,5,3,8xMIC,6,drug_9
19,G07,7,7,G07,7,7,0.5xMIC,6,drug_9
19,G08,7,8,B04,2,4,4xMIC,6,drug_9
19,G09,7,9,C10,3,10,0.000xMIC,6,drug_9
19,G10,7,10,C09,3,9,0.125xMIC,6,drug_9
2,B03,2,3,F05,6,5,2xMIC,1,drug_10
2,B04,2,4,C07,3,7,0.5xMIC,1,drug_10
2,B05,2,5,F03,6,3,8xMIC,1,drug_10
2,B06,2,6,C09,3,9,0.125xMIC,1,drug_10
2,B07,2,7,D03,4,3,8xMIC,2,drug_10
2,B08,2,8,G10,7,10,0.000xMIC,1,drug_10
2,B09,2,9,E03,5,3,8xMIC,3,drug_10
2,B10,2,10,D08,4,8,0.25xMIC,1,drug_10
2,C03,3,3,F09,6,9,0.125xMIC,2,drug_10
2,C04,3,4,B09,2,9,0.125xMIC,3,drug_10
2,C05,3,5,F10,6,10,0.000xMIC,2,drug_10
2,C06,3,6,B06,2,6,1xMIC,1,drug_10
2,C07,3,7,E05,5,5,2xMIC,2,drug_10
2,C08,3,8,E10,5,10,0.000xMIC,3,drug_10
2,C09,3,9,G07,7,7,0.5xMIC,2,drug_10
2,C10,3,10,G03,7,3,8xMIC,4,drug_10
2,D03,4,3,E09,5,9,0.125xMIC,4,drug_10
2,D04,4,4,B03,2,3,8xMIC,5,drug_10
2,D05,4,5,E07,5,7,0.5xMIC,3,drug_10
2,D06,4,6,C06,3,6,1xMIC,2,drug_10
2,D07,4,7,F06,6,6,1xMIC,3,drug_10
2,D08,4,8,D07,4,7,0.5xMIC,4,drug_10
2,D09,4,9,C04,3,4,4xMIC,1,drug_10
2,D10,4,10,B05,2,5,2xMIC,3,drug_10
2,E03,5,3,D10,4,10,0.000xMIC,4,drug_10
2,E04,5,4,G08,7,8,0.25xMIC,2,drug_10
2,E05,5,5,F07,6,7,0.5xMIC,5,drug_10
2,E06,5,6,D06,4,6,1xMIC,4,drug_10
2,E07,5,7,E04,5,4,4xMIC,2,drug_10
2,E08,5,8,B08,2,8,0.25xMIC,3,drug_10
2,E09,5,9,F04,6,4,4xMIC,3,drug_10
2,E10,5,10,D04,4,4,4xMIC,4,drug_10
2,F03,6,3,F08,6,8,0.25xMIC,4,drug_10
2,F04,6,4,E08,5,8,0.25xMIC,5,drug_10
2,F05,6,5,D09,4,9,0.125xMIC,5,drug_10
2,F06,6,6,C03,3,3,8xMIC,6,drug_10
2,F07,6,7,E06,5,6,1xMIC,5,drug_10
2,F08,6,8,C05,3,5,2xMIC,4,drug_10
2,F09,6,9,G06,7,6,1xMIC,6,drug_10
2,F10,6,10,C10,3,10,0.000xMIC,5,drug_10
2,G03,7,3,B10,2,10,0.000xMIC,6,drug_10
2,G04,7,4,G09,7,9,0.125xMIC,6,drug_10
2,G05,7,5,B07,2,7,0.5xMIC,6,drug_10
2,G06,7,6,G05,7,5,2xMIC,5,drug_10
2,G07,7,7,B04,2,4,4xMIC,5,drug_10
2,G08,7,8,G04,7,4,4xMIC,6,drug_10
2,G09,7,9,C08,3,8,0.25xMIC,6,drug_10
2,G10,7,10,D05,4,5,2xMIC,6,drug_10
4,B03,2,3,B09,2,9,0.125xMIC,1,drug_11
4,B04,2,4,E10,5,10,0.000xMIC,1,drug_11
4,B05,2,5,D04,4,4,4xMIC,1,drug_11
4,B06,2,6,F07,6,7,0.5xMIC,1,drug_11
4,B07,2,7,D07,4,7,0.5xMIC,2,drug_11
4,B08,2,8,C05,3,5,2xMIC,1,drug_11
4,B09,2,9,B03,2,3,8xMIC,1,drug_11
4,B10,2,10,C06,3,6,1xMIC,1,drug_11
4,C03,3,3,B06,2,6,1xMIC,2,drug_11
4,C04,3,4,G05,7,5,2xMIC,2,drug_11
4,C05,3,5,F09,6,9,0.125xMIC,2,drug_11
4,C06,3,6,F05,6,5,2xMIC,3,drug_11
4,C07,3,7,G03,7,3,8xMIC,2,drug_11
4,C08,3,8,E06,5,6,1xMIC,3,drug_11
4,C09,3,9,B05,2,5,2xMIC,4,drug_11
4,C10,3,10,E07,5,7,0.5xMIC,3,drug_11
4,D03,4,3,E09,5,9,0.125xMIC,3,drug_11
4,D04,4,4,B08,2,8,0.25xMIC,1,drug_11
4,D05,4,5,E03,5,3,8xMIC,3,drug_11
4,D06,4,6,E05,5,5,2xMIC,5,drug_11
4,D07,4,7,D03,4,3,8xMIC,4,drug_11
4,D08,4,8,D10,4,10,0.000xMIC,2,drug_11
4,D09,4,9,F10,6,10,0.000xMIC,3,drug_11
4,D10,4,10,F04,6,4,4xMIC,2,drug_11
4,E03,5,3,G04,7,4,4xMIC,3,drug_11
4,E04,5,4,D08,4,8,0.25xMIC,2,drug_11
4,E05,5,5,C10,3,10,0.000xMIC,4,drug_11
4,E06,5,6,F08,6,8,0.25xMIC,3,drug_11
4,E07,5,7,C09,3,9,0.125xMIC,4,drug_11
4,E08,5,8,C03,3,3,8xMIC,5,drug_11
4,E09,5,9,G08,7,8,0.25xMIC,4,drug_11
4,E10,5,10,F03,6,3,8xMIC,6,drug_11
4,F03,6,3,G07,7,7,0.5xMIC,4,drug_11
4,F04,6,4,E08,5,8,0.25xMIC,5,drug_11
4,F05,6,5,D09,4,9,0.125xMIC,5,drug_11
4,F06,6,6,D05,4,5,2xMIC,6,drug_11
4,F07,6,7,B04,2,4,4xMIC,4,drug_11
4,F08,6,8,C04,3,4,4xMIC,5,drug_11
4,F09,6,9,C07,3,7,0.5xMIC,5,drug_11
4,F10,6,10,G06,7,6,1xMIC,4,drug_11
4,G03,7,3,F06,6,6,1xMIC,5,drug_11
4,G04,7,4,D06,4,6,1xMIC,6,drug_11
4,G05,7,5,B10,2,10,0.000xMIC,5,drug_11
4,G06,7,6,B07,2,7,0.5xMIC,6,drug_11
4,G07,7,7,G10,7,10,0.000xMIC,6,drug_11
4,G08,7,8,G09,7,9,0.125xMIC,6,drug_11
4,G09,7,9,C08,3,8,0.25xMIC,6,drug_11
4,G10,7,10,E04,5,4,4xMIC,6,drug_11
3,B03,2,3,G03,7,3,8xMIC,1,drug_12
3,B04,2,4,C07,3,7,0.5xMIC,1,drug_12
3,B05,2,5,C06,3,6,1xMIC,1,drug_12
3,B06,2,6,G07,7,7,0.5xMIC,2,drug_12
3,B07,2,7,F09,6,9,0.125xMIC,1,drug_12
3,B08,2,8,F07,6,7,0.5xMIC,3,drug_12
3,B09,2,9,C10,3,10,0.000xMIC,1,drug_12
3,B10,2,10,C04,3,4,4xMIC,1,drug_12
3,C03,3,3,B04,2,4,4xMIC,2,drug_12
3,C04,3,4,E07,5,7,0.5xMIC,4,drug_12
3,C05,3,5,F06,6,6,1xMIC,2,drug_12
3,C06,3,6,D06,4,6,1xMIC,3,drug_12
3,C07,3,7,C05,3,5,2xMIC,1,drug_12
3,C08,3,8,B03,2,3,8xMIC,2,drug_12
3,C09,3,9,G04,7,4,4xMIC,3,drug_12
3,C10,3,10,E09,5,9,0.125xMIC,2,drug_12
3,D03,4,3,D09,4,9,0.125xMIC,3,drug_12
3,D04,4,4,D05,4,5,2xMIC,2,drug_12
3,D05,4,5,D07,4,7,0.5xMIC,5,drug_12
3,D06,4,6,F10,6,10,0.000xMIC,2,drug_12
3,D07,4,7,B07,2,7,0.5xMIC,6,drug_12
3,D08,4,8,E08,5,8,0.25xMIC,1,drug_12
3,D09,4,9,C03,3,3,8xMIC,3,drug_12
3,D10,4,10,D10,4,10,0.000xMIC,3,drug_12
3,E03,5,3,B09,2,9,0.125xMIC,4,drug_12
3,E04,5,4,B08,2,8,0.25xMIC,2,drug_12
3,E05,5,5,G10,7,10,0.000xMIC,4,drug_12
3,E06,5,6,F05,6,5,2xMIC,3,drug_12
3,E07,5,7,C08,3,8,0.25xMIC,3,drug_12
3,E08,5,8,E04,5,4,4xMIC,4,drug_12
3,E09,5,9,G09,7,9,0.125xMIC,5,drug_12
3,E10,5,10,F03,6,3,8xMIC,4,drug_12
3,F03,6,3,G06,7,6,1xMIC,4,drug_12
3,F04,6,4,E10,5,10,0.000xMIC,5,drug_12
3,F05,6,5,E06,5,6,1xMIC,5,drug_12
3,F06,6,6,D03,4,3,8xMIC,5,drug_12
3,F07,6,7,G05,7,5,2xMIC,4,drug_12
3,F08,6,8,F04,6,4,4xMIC,5,drug_12
3,F09,6,9,D08,4,8,0.25xMIC,4,drug_12
3,F10,6,10,G08,7,8,0.25xMIC,5,drug_12
3,G03,7,3,C09,3,9,0.125xMIC,6,drug_12
3,G04,7,4,B10,2,10,0.000xMIC,6,drug_12
3,G05,7,5,B06,2,6,1xMIC,6,drug_12
3,G06,7,6,B05,2,5,2xMIC,5,drug_12
3,G07,7,7,E05,5,5,2xMIC,6,drug_12
3,G08,7,8,E03,5,3,8xMIC,6,drug_12
3,G09,7,9,D04,4,4,4xMIC,6,drug_12
3,G10,7,10,F08,6,8,0.25xMIC,6,drug_12
1,B03,2,3,B08,2,8,0.25xMIC,1,drug_13
1,B04,2,4,G06,7,6,1xMIC,1,drug_13
1,B05,2,5,F09,6,9,0.125xMIC,1,drug_13
1,B06,2,6,F03,6,3,8xMIC,1,drug_13
1,B07,2,7,G05,7,5,2xMIC,1,drug_13
1,B08,2,8,C10,3,10,0.000xMIC,1,drug_13
1,B09,2,9,G09,7,9,0.125xMIC,2,drug_13
1,B10,2,10,D08,4,8,0.25xMIC,2,drug_13
1,C03,3,3,B09,2,9,0.125xMIC,3,drug_13
1,C04,3,4,C09,3,9,0.125xMIC,4,drug_13
1,C05,3,5,C04,3,4,4xMIC,1,drug_13
1,C06,3,6,C03,3,3,8xMIC,2,drug_13
1,C07,3,7,B06,2,6,1xMIC,2,drug_13
1,C08,3,8,C06,3,6,1xMIC,3,drug_13
1,C09,3,9,E06,5,6,1xMIC,4,drug_13
1,C10,3,10,C07,3,7,0.5xMIC,1,drug_13
1,D03,4,3,G10,7,10,0.000xMIC,2,drug_13
1,D04,4,4,D10,4,10,0.000xMIC,3,drug_13
1,D05,4,5,E04,5,4,4xMIC,2,drug_13
1,D06,4,6,E05,5,5,2xMIC,2,drug_13
1,D07,4,7,D03,4,3,8xMIC,3,drug_13
1,D08,4,8,F05,6,5,2xMIC,3,drug_13
1,D09,4,9,B07,2,7,0.5xMIC,2,drug_13
1,D10,4,10,F04,6,4,4xMIC,3,drug_13
1,E03,5,3,G04,7,4,4xMIC,4,drug_13
1,E04,5,4,F08,6,8,0.25xMIC,3,drug_13
1,E05,5,5,F07,6,7,0.5xMIC,3,drug_13
1,E06,5,6,D04,4,4,4xMIC,5,drug_13
1,E07,5,7,E07,5,7,0.5xMIC,4,drug_13
1,E08,5,8,C08,3,8,0.25xMIC,4,drug_13
1,E09,5,9,E08,5,8,0.25xMIC,5,drug_13
1,E10,5,10,B10,2,10,0.000xMIC,4,drug_13
1,F03,6,3,E03,5,3,8xMIC,4,drug_13
1,F04,6,4,G03,7,3,8xMIC,5,drug_13
1,F05,6,5,D07,4,7,0.5xMIC,5,drug_13
1,F06,6,6,B03,2,3,8xMIC,6,drug_13
1,F07,6,7,G08,7,8,0.25xMIC,6,drug_13
1,F08,6,8,G07,7,7,0.5xMIC,6,drug_13
1,F09,6,9,F10,6,10,0.000xMIC,5,drug_13
1,F10,6,10,D06,4,6,1xMIC,5,drug_13
1,G03,7,3,E09,5,9,0.125xMIC,5,drug_13
1,G04,7,4,E10,5,10,0.000xMIC,6,drug_13
1,G05,7,5,B04,2,4,4xMIC,6,drug_13
1,G06,7,6,F06,6,6,1xMIC,6,drug_13
1,G07,7,7,D09,4,9,0.125xMIC,6,drug_13
1,G08,7,8,C05,3,5,2xMIC,4,drug_13
1,G09,7,9,B05,2,5,2xMIC,5,drug_13
1,G10,7,10,D05,4,5,2xMIC,6,drug_13
4,B03,2,3,G08,7,8,0.25xMIC,1,drug_14
4,B04,2,4,F03,6,3,8xMIC,1,drug_14
4,B05,2,5,E09,5,9,0.125xMIC,1,drug_14
4,B06,2,6,D03,4,3,8xMIC,2,drug_14
4,B07,2,7,D09,4,9,0.125xMIC,2,drug_14
4,B08,2,8,D05,4,5,2xMIC,1,drug_14
4,B09,2,9,E08,5,8,0.25xMIC,2,drug_14
4,B10,2,10,C06,3,6,1xMIC,1,drug_14
4,C03,3,3,F08,6,8,0.25xMIC,3,drug_14
4,C04,3,4,E07,5,7,0.5xMIC,1,drug_14
4,C05,3,5,B04,2,4,4xMIC,1,drug_14
4,C06,3,6,F10,6,10,0.000xMIC,1,drug_14
4,C07,3,7,C08,3,8,0.25xMIC,4,drug_14
4,C08,3,8,B09,2,9,0.125xMIC,3,drug_14
4,C09,3,9,D08,4,8,0.25xMIC,5,drug_14
4,C10,3,10,F06,6,6,1xMIC,2,drug_14
4,D03,4,3,G04,7,4,4xMIC,2,drug_14
4,D04,4,4,B08,2,8,0.25xMIC,6,drug_14
4,D05,4,5,E05,5,5,2xMIC,2,drug_14
4,D06,4,6,F04,6,4,4xMIC,3,drug_14
4,D07,4,7,D07,4,7,0.5xMIC,2,drug_14
4,D08,4,8,G06,7,6,1xMIC,3,drug_14
4,D09,4,9,B06,2,6,1xMIC,4,drug_14
4,D10,4,10,C07,3,7,0.5xMIC,3,drug_14
4,E03,5,3,E10,5,10,0.000xMIC,2,drug_14
4,E04,5,4,F07,6,7,0.5xMIC,4,drug_14
4,E05,5,5,F05,6,5,2xMIC,3,drug_14
4,E06,5,6,E04,5,4,4xMIC,4,drug_14
4,E07,5,7,G07,7,7,0.5xMIC,5,drug_14
4,E08,5,8,B10,2,10,0.000xMIC,3,drug_14
4,E09,5,9,G05,7,5,2xMIC,4,drug_14
4,E10,5,10,E06,5,6,1xMIC,5,drug_14
4,F03,6,3,F09,6,9,0.125xMIC,4,drug_14
4,F04,6,4,G03,7,3,8xMIC,3,drug_14
4,F05,6,5,B03,2,3,8xMIC,4,drug_14
4,F06,6,6,D06,4,6,1xMIC,6,drug_14
4,F07,6,7,C09,3,9,0.125xMIC,5,drug_14
4,F08,6,8,D04,4,4,4xMIC,5,drug_14
4,F09,6,9,B05,2,5,2xMIC,5,drug_14
4,F10,6,10,C10,3,10,0.000xMIC,4,drug_14
4,G03,7,3,E03,5,3,8xMIC,5,drug_14
4,G04,7,4,G09,7,9,0.125xMIC,6,drug_14
4,G05,7,5,C05,3,5,2xMIC,6,drug_14
4,G06,7,6,C04,3,4,4xMIC,6,drug_14
4,G07,7,7,B07,2,7,0.5xMIC,6,drug_14
4,G08,7,8,C03,3,3,8xMIC,6,drug_14
4,G09,7,9,D10,4,10,0.000xMIC,5,drug_14
4,G10,7,10,G10,7,10,0.000xMIC,6,drug_14
14,B03,2,3,B07,2,7,0.5xMIC,1,drug_15
14,B04,2,4,C08,3,8,0.25xMIC,1,drug_15
14,B05,2,5,C03,3,3,8xMIC,1,drug_15
14,B06,2,6,F03,6,3,8xMIC,2,drug_15
14,B07,2,7,C05,3,5,2xMIC,1,drug_15
14,B08,2,8,D04,4,4,4xMIC,1,drug_15
14,B09,2,9,G05,7,5,2xMIC,2,drug_15
14,B10,2,10,D05,4,5,2xMIC,3,drug_15
14,C03,3,3,B05,2,5,2xMIC,4,drug_15
14,C04,3,4,D07,4,7,0.5xMIC,2,drug_15
14,C05,3,5,E05,5,5,2xMIC,5,drug_15
14,C06,3,6,B08,2,8,0.25xMIC,2,drug_15
14,C07,3,7,F06,6,6,1xMIC,1,drug_15
14,C08,3,8,D08,4,8,0.25xMIC,3,drug_15
14,C09,3,9,G07,7,7,0.5xMIC,3,drug_15
14,C10,3,10,E07,5,7,0.5xMIC,4,drug_15
14,D03,4,3,G10,7,10,0.000xMIC,1,drug_15
14,D04,4,4,B06,2,6,1xMIC,2,drug_15
14,D05,4,5,D06,4,6,1xMIC,3,drug_15
14,D06,4,6,F05,6,5,2xMIC,6,drug_15
14,D07,4,7,E06,5,6,1xMIC,4,drug_15
14,D08,4,8,G04,7,4,4xMIC,2,drug_15
14,D09,4,9,F09,6,9,0.125xMIC,1,drug_15
14,D10,4,10,E09,5,9,0.125xMIC,2,drug_15
14,E03,5,3,E10,5,10,0.000xMIC,2,drug_15
14,E04,5,4,C04,3,4,4xMIC,3,drug_15
14,E05,5,5,B04,2,4,4xMIC,4,drug_15
14,E06,5,6,C10,3,10,0.000xMIC,3,drug_15
14,E07,5,7,D10,4,10,0.000xMIC,4,drug_15
14,E08,5,8,B09,2,9,0.125xMIC,3,drug_15
14,E09,5,9,G08,7,8,0.25xMIC,4,drug_15
14,E10,5,10,F04,6,4,4xMIC,5,drug_15
14,F03,6,3,B10,2,10,0.000xMIC,5,drug_15
14,F04,6,4,C06,3,6,1xMIC,5,drug_15
14,F05,6,5,F10,6,10,0.000xMIC,6,drug_15
14,F06,6,6,D03,4,3,8xMIC,3,drug_15
14,F07,6,7,G06,7,6,1xMIC,6,drug_15
14,F08,6,8,E08,5,8,0.25xMIC,5,drug_15
14,F09,6,9,F08,6,8,0.25xMIC,6,drug_15
14,F10,6,10,F07,6,7,0.5xMIC,5,drug_15
14,G03,7,3,G09,7,9,0.125xMIC,4,drug_15
14,G04,7,4,G03,7,3,8xMIC,4,drug_15
14,G05,7,5,D09,4,9,0.125xMIC,5,drug_15
14,G06,7,6,C09,3,9,0.125xMIC,6,drug_15
14,G07,7,7,C07,3,7,0.5xMIC,6,drug_15
14,G08,7,8,E03,5,3,8xMIC,5,drug_15
14,G09,7,9,E04,5,4,4xMIC,6,drug_15
14,G10,7,10,B03,2,3,8xMIC,6,drug_15
3,B03,2,3,C04,3,4,4xMIC,1,drug_16
3,B04,2,4,E06,5,6,1xMIC,1,drug_16
3,B05,2,5,C06,3,6,1xMIC,2,drug_16
3,B06,2,6,G07,7,7,0.5xMIC,1,drug_16
3,B07,2,7,G10,7,10,0.000xMIC,1,drug_16
3,B08,2,8,D03,4,3,8xMIC,1,drug_16
3,B09,2,9,E07,5,7,0.5xMIC,2,drug_16
3,B10,2,10,G09,7,9,0.125xMIC,1,drug_16
3,C03,3,3,E09,5,9,0.125xMIC,2,drug_16
3,C04,3,4,G06,7,6,1xMIC,3,drug_16
3,C05,3,5,E10,5,10,0.000xMIC,2,drug_16
3,C06,3,6,E05,5,5,2xMIC,1,drug_16
3,C07,3,7,F07,6,7,0.5xMIC,3,drug_16
3,C08,3,8,D09,4,9,0.125xMIC,3,drug_16
3,C09,3,9,D05,4,5,2xMIC,2,drug_16
3,C10,3,10,F06,6,6,1xMIC,4,drug_16
3,D03,4,3,F08,6,8,0.25xMIC,1,drug_16
3,D04,4,4,C07,3,7,0.5xMIC,4,drug_16
3,D05,4,5,C10,3,10,0.000xMIC,3,drug_16
3,D06,4,6,C03,3,3,8xMIC,2,drug_16
3,D07,4,7,F05,6,5,2xMIC,3,drug_16
3,D08,4,8,G03,7,3,8xMIC,3,drug_16
3,D09,4,9,B07,2,7,0.5xMIC,5,drug_16
3,D10,4,10,F10,6,10,0.000xMIC,4,drug_16
3,E03,5,3,B05,2,5,2xMIC,4,drug_16
3,E04,5,4,B08,2,8,0.25xMIC,2,drug_16
3,E05,5,5,D06,4,6,1xMIC,5,drug_16
3,E06,5,6,F03,6,3,8xMIC,4,drug_16
3,E07,5,7,E04,5,4,4xMIC,2,drug_16
3,E08,5,8,B04,2,4,4xMIC,3,drug_16
3,E09,5,9,F09,6,9,0.125xMIC,4,drug_16
3,E10,5,10,C09,3,9,0.125xMIC,5,drug_16
3,F03,6,3,D08,4,8,0.25xMIC,3,drug_16
3,F04,6,4,C08,3,8,0.25xMIC,4,drug_16
3,F05,6,5,D10,4,10,0.000xMIC,5,drug_16
3,F06,6,6,E08,5,8,0.25xMIC,5,drug_16
3,F07,6,7,D04,4,4,4xMIC,4,drug_16
3,F08,6,8,C05,3,5,2xMIC,5,drug_16
3,F09,6,9,G08,7,8,0.25xMIC,6,drug_16
3,F10,6,10,B10,2,10,0.000xMIC,6,drug_16
3,G03,7,3,G04,7,4,4xMIC,5,drug_16
3,G04,7,4,B03,2,3,8xMIC,5,drug_16
3,G05,7,5,B09,2,9,0.125xMIC,6,drug_16
3,G06,7,6,E03,5,3,8xMIC,6,drug_16
3,G07,7,7,G05,7,5,2xMIC,6,drug_16
3,G08,7,8,B06,2,6,1xMIC,6,drug_16
3,G09,7,9,F04,6,4,4xMIC,6,drug_16
3,G10,7,10,D07,4,7,0.5xMIC,6,drug_16
15,B03,2,3,C09,3,9,0.125xMIC,1,drug_17
15,B04,2,4,B07,2,7,0.5xMIC,1,drug_17
15,B05,2,5,E07,5,7,0.5xMIC,2,drug_17
15,B06,2,6,D09,4,9,0.125xMIC,2,drug_17
15,B07,2,7,D06,4,6,1xMIC,1,drug_17
15,B08,2,8,C04,3,4,4xMIC,1,drug_17
15,B09,2,9,G09,7,9,0.125xMIC,3,drug_17
15,B10,2,10,C06,3,6,1xMIC,2,drug_17
15,C03,3,3,E03,5,3,8xMIC,1,drug_17
15,C04,3,4,E08,5,8,0.25xMIC,1,drug_17
15,C05,3,5,B04,2,4,4xMIC,2,drug_17
15,C06,3,6,B03,2,3,8xMIC,2,drug_17
15,C07,3,7,C08,3,8,0.25xMIC,2,drug_17
15,C08,3,8,E10,5,10,0.000xMIC,1,drug_17
15,C09,3,9,G06,7,6,1xMIC,3,drug_17
15,C10,3,10,B05,2,5,2xMIC,1,drug_17
15,D03,4,3,D10,4,10,0.000xMIC,2,drug_17
15,D04,4,4,G05,7,5,2xMIC,2,drug_17
15,D05,4,5,B06,2,6,1xMIC,4,drug_17
15,D06,4,6,F05,6,5,2xMIC,3,drug_17
15,D07,4,7,F04,6,4,4xMIC,3,drug_17
15,D08,4,8,F06,6,6,1xMIC,5,drug_17
15,D09,4,9,F07,6,7,0.5xMIC,3,drug_17
15,D10,4,10,D05,4,5,2xMIC,4,drug_17
15,E03,5,3,D04,4,4,4xMIC,4,drug_17
15,E04,5,4,E09,5,9,0.125xMIC,4,drug_17
15,E05,5,5,F10,6,10,0.000xMIC,3,drug_17
15,E06,5,6,E05,5,5,2xMIC,5,drug_17
15,E07,5,7,C10,3,10,0.000xMIC,4,drug_17
15,E08,5,8,C07,3,7,0.5xMIC,4,drug_17
15,E09,5,9,C05,3,5,2xMIC,6,drug_17
15,E10,5,10,C03,3,3,8xMIC,3,drug_17
15,F03,6,3,D07,4,7,0.5xMIC,5,drug_17
15,F04,6,4,E06,5,6,1xMIC,6,drug_17
15,F05,6,5,B08,2,8,0.25xMIC,3,drug_17
15,F06,6,6,E04,5,4,4xMIC,5,drug_17
15,F07,6,7,F08,6,8,0.25xMIC,4,drug_17
15,F08,6,8,F09,6,9,0.125xMIC,5,drug_17
15,F09,6,9,D03,4,3,8xMIC,4,drug_17
15,F10,6,10,G08,7,8,0.25xMIC,5,drug_17
15,G03,7,3,B09,2,9,0.125xMIC,6,drug_17
15,G04,7,4,G03,7,3,8xMIC,5,drug_17
15,G05,7,5,G07,7,7,0.5xMIC,6,drug_17
15,G06,7,6,D08,4,8,0.25xMIC,6,drug_17
15,G07,7,7,G04,7,4,4xMIC,6,drug_17
15,G08,7,8,G10,7,10,0.000xMIC,5,drug_17
15,G09,7,9,B10,2,10,0.000xMIC,6,drug_17
15,G10,7,10,F03,6,3,8xMIC,6,drug_17
20,B03,2,3,G03,7,3,8xMIC,1,drug_18
20,B04,2,4,G10,7,10,0.000xMIC,1,drug_18
20,B05,2,5,E03,5,3,8xMIC,2,drug_18
20,B06,2,6,D07,4,7,0.5xMIC,1,drug_18
20,B07,2,7,E10,5,10,0.000xMIC,2,drug_18
20,B08,2,8,F07,6,7,0.5xMIC,2,drug_18
20,B09,2,9,G04,7,4,4xMIC,1,drug_18
20,B10,2,10,G08,7,8,0.25xMIC,1,drug_18
20,C03,3,3,D06,4,6,1xMIC,1,drug_18
20,C04,3,4,G07,7,7,0.5xMIC,3,drug_18
20,C05,3,5,E08,5,8,0.25xMIC,2,drug_18
20,C06,3,6,F10,6,10,0.000xMIC,3,drug_18
20,C07,3,7,D10,4,10,0.000xMIC,4,drug_18
20,C08,3,8,D09,4,9,0.125xMIC,1,drug_18
20,C09,3,9,C09,3,9,0.125xMIC,2,drug_18
20,C10,3,10,F09,6,9,0.125xMIC,3,drug_18
20,D03,4,3,F06,6,6,1xMIC,2,drug_18
20,D04,4,4,D03,4,3,8xMIC,3,drug_18
20,D05,4,5,C04,3,4,4xMIC,2,drug_18
20,D06,4,6,B03,2,3,8xMIC,4,drug_18
20,D07,4,7,F05,6,5,2xMIC,1,drug_18
20,D08,4,8,E09,5,9,0.125xMIC,4,drug_18
20,D09,4,9,D04,4,4,4xMIC,3,drug_18
20,D10,4,10,C06,3,6,1xMIC,3,drug_18
20,E03,5,3,C07,3,7,0.5xMIC,4,drug_18
20,E04,5,4,D08,4,8,0.25xMIC,3,drug_18
20,E05,5,5,D05,4,5,2xMIC,2,drug_18
20,E06,5,6,E05,5,5,2xMIC,3,drug_18
20,E07,5,7,B09,2,9,0.125xMIC,5,drug_18
20,E08,5,8,F08,6,8,0.25xMIC,4,drug_18
20,E09,5,9,G05,7,5,2xMIC,4,drug_18
20,E10,5,10,F03,6,3,8xMIC,5,drug_18
20,F03,6,3,B08,2,8,0.25xMIC,5,drug_18
20,F04,6,4,C03,3,3,8xMIC,6,drug_18
20,F05,6,5,E04,5,4,4xMIC,4,drug_18
20,F06,6,6,E07,5,7,0.5xMIC,5,drug_18
20,F07,6,7,C08,3,8,0.25xMIC,6,drug_18
20,F08,6,8,B07,2,7,0.5xMIC,6,drug_18
20,F09,6,9,G06,7,6,1xMIC,4,drug_18
20,F10,6,10,B10,2,10,0.000xMIC,5,drug_18
20,G03,7,3,F04,6,4,4xMIC,5,drug_18
20,G04,7,4,G09,7,9,0.125xMIC,6,drug_18
20,G05,7,5,E06,5,6,1xMIC,5,drug_18
20,G06,7,6,B05,2,5,2xMIC,5,drug_18
20,G07,7,7,B04,2,4,4xMIC,6,drug_18
20,G08,7,8,C10,3,10,0.000xMIC,6,drug_18
20,G09,7,9,C05,3,5,2xMIC,6,drug_18
20,G10,7,10,B06,2,6,1xMIC,6,drug_18
26,B03,2,3,C07,3,7,0.5xMIC,1,drug_19
26,B04,2,4,D05,4,5,2xMIC,1,drug_19
26,B05,2,5,F03,6,3,8xMIC,1,drug_19
26,B06,2,6,E08,5,8,0.25xMIC,1,drug_19
26,B07,2,7,D08,4,8,0.25xMIC,2,drug_19
26,B08,2,8,E10,5,10,0.000xMIC,1,drug_19
26,B09,2,9,G09,7,9,0.125xMIC,1,drug_19
26,B10,2,10,B10,2,10,0.000xMIC,2,drug_19
26,C03,3,3,F08,6,8,0.25xMIC,3,drug_19
26,C04,3,4,C08,3,8,0.25xMIC,4,drug_19
26,C05,3,5,C09,3,9,0.125xMIC,2,drug_19
26,C06,3,6,D03,4,3,8xMIC,2,drug_19
26,C07,3,7,D04,4,4,4xMIC,1,drug_19
26,C08,3,8,G07,7,7,0.5xMIC,2,drug_19
